Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шпильки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;266 623;0,0034;
февраль 2018;284 875;0,0036;
март 2018;336 781;0,0040;
апрель 2018;372 638;0,0049;
май 2018;362 404;0,0048;
июнь 2018;324 513;0,0046;
июль 2018;327 305;0,0046;
август 2018;334 168;0,0047;
сентябрь 2018;336 903;0,0042;
октябрь 2018;419 447;0,0045;
ноябрь 2018;375 489;0,0044;
декабрь 2018;331 981;0,0038;
январь 2019;313 932;0,0035;
февраль 2019;329 635;0,0039;
март 2019;379 088;0,0043;
апрель 2019;434 417;0,0052;
май 2019;384 480;0,0048;
июнь 2019;360 812;0,0049;
июль 2019;379 117;0,0051;
август 2019;361 594;0,0049;
сентябрь 2019;350 221;0,0044;
октябрь 2019;415 275;0,0046;
ноябрь 2019;383 316;0,0043;
декабрь 2019;372 618;0,0040;
январь 2020;362 411;0,0037;
февраль 2020;373 812;0,0040;
март 2020;419 024;0,0042;
апрель 2020;442 179;0,0037;
май 2020;457 236;0,0042;
июнь 2020;433 787;0,0048;
июль 2020;419 357;0,0049;
август 2020;409 309;0,0048;
сентябрь 2020;408 850;0,0043;
октябрь 2020;461 018;0,0042;
ноябрь 2020;478 188;0,0041;
декабрь 2020;419 197;0,0037;
январь 2021;373 837;0,0035;
февраль 2021;386 803;0,0038;
март 2021;480 683;0,0044;
апрель 2021;542 263;0,0050;
май 2021;495 329;0,0048;
июнь 2021;489 437;0,0049;
июль 2021;461 575;0,0047;
август 2021;484 785;0,0048;
сентябрь 2021;477 465;0,0044;
октябрь 2021;507 209;0,0044;
ноябрь 2021;513 911;0,0044;
декабрь 2021;464 669;0,0039;
январь 2022;439 141;0,0036;
февраль 2022;455 090;0,0038;
март 2022;512 072;0,0040;
апрель 2022;609 365;0,0050;
май 2022;585 224;0,0049;
июнь 2022;546 178;0,0050;
июль 2022;528 547;0,0050;
август 2022;544 011;0,0050;
сентябрь 2022;499 359;0,0042;
октябрь 2022;552 292;0,0044;
ноябрь 2022;570 066;0,0045;
декабрь 2022;491 225;0,0039;
январь 2023;469 170;0,0038;
февраль 2023;474 363;0,0041;
март 2023;613 531;0,0049;
апрель 2023;632 494;0,0054;
май 2023;618 670;0,0054;
июнь 2023;566 809;0,0055;
июль 2023;555 998;0,0055;
август 2023;559 755;0,0055;
сентябрь 2023;550 442;0,0051;
октябрь 2023;639 608;0,0053;
ноябрь 2023;608 071;0,0051;
декабрь 2023;530 290;0,0044;
январь 2024;517 034;0,0042;
февраль 2024;546 294;0,0048;
март 2024;610 810;0,0052;
апрель 2024;675 574;0,0062;
май 2024;635 764;0,0059;
июнь 2024;568 436;0,0060;
июль 2024;587 274;0,0063;
август 2024;567 158;0,0060;
сентябрь 2024;548 154;0,0055;
октябрь 2024;657 546;0,0058;
ноябрь 2024;651 460;0,0056;
декабрь 2024;595 344;0,0049;
январь 2025;567 823;0,0047;
февраль 2025;592 643;0,0051;
март 2025;704 156;0,0058;
апрель 2025;711 746;0,0062;
май 2025;654 299;0,0061;
июнь 2025;671 769;0,0063;
