Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Казаны, жаровни, утятницы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;279 317;0,0035;
февраль 2018;280 583;0,0036;
март 2018;329 646;0,0039;
апрель 2018;329 837;0,0043;
май 2018;369 076;0,0049;
июнь 2018;381 308;0,0054;
июль 2018;410 184;0,0058;
август 2018;433 982;0,0061;
сентябрь 2018;399 302;0,0050;
октябрь 2018;417 863;0,0045;
ноябрь 2018;374 906;0,0044;
декабрь 2018;377 184;0,0044;
январь 2019;432 634;0,0049;
февраль 2019;424 793;0,0050;
март 2019;512 301;0,0058;
апрель 2019;518 125;0,0062;
май 2019;572 827;0,0072;
июнь 2019;565 347;0,0078;
июль 2019;595 752;0,0081;
август 2019;568 870;0,0078;
сентябрь 2019;486 515;0,0061;
октябрь 2019;484 825;0,0054;
ноябрь 2019;457 678;0,0051;
декабрь 2019;513 370;0,0055;
январь 2020;592 199;0,0060;
февраль 2020;598 887;0,0065;
март 2020;646 991;0,0065;
апрель 2020;910 384;0,0076;
май 2020;1 223 468;0,0114;
июнь 2020;1 072 304;0,0120;
июль 2020;1 049 420;0,0124;
август 2020;1 001 957;0,0119;
сентябрь 2020;832 191;0,0087;
октябрь 2020;850 266;0,0079;
ноябрь 2020;840 422;0,0073;
декабрь 2020;810 274;0,0073;
январь 2021;842 878;0,0080;
февраль 2021;812 590;0,0081;
март 2021;933 852;0,0085;
апрель 2021;1 058 049;0,0098;
май 2021;1 260 837;0,0122;
июнь 2021;1 222 791;0,0123;
июль 2021;1 390 869;0,0143;
август 2021;1 402 064;0,0139;
сентябрь 2021;1 155 394;0,0107;
октябрь 2021;1 084 471;0,0095;
ноябрь 2021;1 060 255;0,0091;
декабрь 2021;1 058 307;0,0089;
январь 2022;1 213 114;0,0101;
февраль 2022;1 080 317;0,0091;
март 2022;1 170 576;0,0091;
апрель 2022;1 373 528;0,0114;
май 2022;1 751 992;0,0146;
июнь 2022;1 807 029;0,0168;
июль 2022;1 938 849;0,0185;
август 2022;1 760 243;0,0163;
сентябрь 2022;1 307 888;0,0111;
октябрь 2022;1 205 976;0,0097;
ноябрь 2022;1 196 056;0,0094;
декабрь 2022;1 179 231;0,0093;
январь 2023;1 282 311;0,0104;
февраль 2023;1 207 363;0,0105;
март 2023;1 329 303;0,0106;
апрель 2023;1 372 094;0,0118;
май 2023;1 561 428;0,0138;
июнь 2023;1 545 438;0,0150;
июль 2023;1 625 061;0,0161;
август 2023;1 436 870;0,0143;
сентябрь 2023;1 259 029;0,0117;
октябрь 2023;1 168 780;0,0097;
ноябрь 2023;1 095 610;0,0093;
декабрь 2023;1 070 818;0,0089;
январь 2024;1 174 061;0,0097;
февраль 2024;1 071 819;0,0095;
март 2024;1 147 626;0,0099;
апрель 2024;1 191 977;0,0109;
май 2024;1 375 300;0,0129;
июнь 2024;1 319 651;0,0141;
июль 2024;1 383 280;0,0148;
август 2024;1 348 998;0,0144;
сентябрь 2024;1 153 674;0,0116;
октябрь 2024;1 120 575;0,0099;
ноябрь 2024;1 083 088;0,0093;
декабрь 2024;1 231 587;0,0102;
январь 2025;1 350 424;0,0113;
февраль 2025;1 175 375;0,0103;
март 2025;1 269 884;0,0105;
апрель 2025;1 277 268;0,0112;
май 2025;1 506 703;0,0141;
июнь 2025;1 623 629;0,0153;
