Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Киянки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;8 957;0,00011;
февраль 2018;10 147;0,00013;
март 2018;10 803;0,00012;
апрель 2018;11 388;0,00015;
май 2018;13 821;0,00018;
июнь 2018;9 251;0,00013;
июль 2018;8 895;0,00012;
август 2018;9 566;0,00013;
сентябрь 2018;12 281;0,00015;
октябрь 2018;16 277;0,00017;
ноябрь 2018;12 055;0,00014;
декабрь 2018;11 211;0,00013;
январь 2019;10 877;0,00012;
февраль 2019;11 634;0,00013;
март 2019;12 371;0,00014;
апрель 2019;13 434;0,00016;
май 2019;13 540;0,00017;
июнь 2019;9 817;0,00013;
июль 2019;10 255;0,00013;
август 2019;10 258;0,00014;
сентябрь 2019;13 050;0,00016;
октябрь 2019;14 718;0,00016;
ноябрь 2019;12 543;0,00014;
декабрь 2019;12 135;0,00013;
январь 2020;12 009;0,00012;
февраль 2020;12 726;0,00013;
март 2020;12 492;0,00012;
апрель 2020;24 904;0,00020;
май 2020;20 252;0,00018;
июнь 2020;13 859;0,00015;
июль 2020;15 898;0,00018;
август 2020;14 554;0,00017;
сентябрь 2020;16 947;0,00017;
октябрь 2020;20 409;0,00018;
ноябрь 2020;18 639;0,00016;
декабрь 2020;17 816;0,00016;
январь 2021;15 027;0,00014;
февраль 2021;16 368;0,00016;
март 2021;18 412;0,00016;
апрель 2021;20 148;0,00018;
май 2021;20 464;0,00019;
июнь 2021;16 611;0,00016;
июль 2021;16 550;0,00017;
август 2021;17 533;0,00017;
сентябрь 2021;23 527;0,00021;
октябрь 2021;22 717;0,00019;
ноябрь 2021;19 260;0,00016;
декабрь 2021;19 313;0,00016;
январь 2022;18 385;0,00015;
февраль 2022;20 667;0,00017;
март 2022;21 536;0,00016;
апрель 2022;23 972;0,00020;
май 2022;24 559;0,00020;
июнь 2022;19 727;0,00018;
июль 2022;20 107;0,00019;
август 2022;20 392;0,00018;
сентябрь 2022;22 146;0,00018;
октябрь 2022;25 353;0,00020;
ноябрь 2022;23 666;0,00018;
декабрь 2022;21 532;0,00017;
январь 2023;21 504;0,00017;
февраль 2023;21 652;0,00018;
март 2023;24 850;0,00019;
апрель 2023;23 763;0,00020;
май 2023;27 311;0,00024;
июнь 2023;20 784;0,00020;
июль 2023;21 274;0,00021;
август 2023;21 001;0,00020;
сентябрь 2023;24 724;0,00022;
октябрь 2023;28 791;0,00024;
ноябрь 2023;25 172;0,00021;
декабрь 2023;23 713;0,00019;
январь 2024;22 553;0,00018;
февраль 2024;25 423;0,00022;
март 2024;24 635;0,00021;
апрель 2024;25 933;0,00023;
май 2024;27 368;0,00025;
июнь 2024;21 608;0,00023;
июль 2024;22 933;0,00024;
август 2024;20 172;0,00021;
сентябрь 2024;24 590;0,00024;
октябрь 2024;29 748;0,00026;
ноябрь 2024;29 645;0,00025;
декабрь 2024;27 164;0,00022;
январь 2025;27 903;0,00023;
февраль 2025;28 182;0,00024;
март 2025;27 534;0,00022;
апрель 2025;27 070;0,00023;
май 2025;25 068;0,00023;
июнь 2025;24 042;0,00022;
