Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мультиварки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 636 145;0,033;
февраль 2018;2 514 173;0,032;
март 2018;2 663 266;0,031;
апрель 2018;2 069 567;0,027;
май 2018;1 814 404;0,024;
июнь 2018;1 772 785;0,025;
июль 2018;1 983 062;0,028;
август 2018;2 249 011;0,031;
сентябрь 2018;2 471 870;0,031;
октябрь 2018;2 660 999;0,028;
ноябрь 2018;2 621 058;0,030;
декабрь 2018;2 487 789;0,029;
январь 2019;2 704 264;0,030;
февраль 2019;2 412 607;0,028;
март 2019;2 431 139;0,027;
апрель 2019;2 001 211;0,024;
май 2019;1 738 651;0,021;
июнь 2019;1 707 633;0,023;
июль 2019;2 004 473;0,027;
август 2019;2 199 118;0,030;
сентябрь 2019;2 296 527;0,029;
октябрь 2019;2 337 763;0,026;
ноябрь 2019;2 284 703;0,025;
декабрь 2019;2 233 044;0,024;
январь 2020;2 583 468;0,026;
февраль 2020;2 393 683;0,026;
март 2020;2 443 459;0,024;
апрель 2020;2 832 972;0,023;
май 2020;2 397 690;0,022;
июнь 2020;1 923 716;0,021;
июль 2020;1 973 508;0,023;
август 2020;2 156 138;0,025;
сентябрь 2020;2 233 823;0,023;
октябрь 2020;2 377 395;0,022;
ноябрь 2020;2 510 436;0,021;
декабрь 2020;2 341 278;0,021;
январь 2021;2 467 837;0,023;
февраль 2021;2 208 428;0,022;
март 2021;2 273 896;0,020;
апрель 2021;2 083 838;0,019;
май 2021;1 960 425;0,019;
июнь 2021;1 786 312;0,018;
июль 2021;1 970 211;0,020;
август 2021;2 333 795;0,023;
сентябрь 2021;2 390 674;0,022;
октябрь 2021;2 364 212;0,020;
ноябрь 2021;2 455 981;0,021;
декабрь 2021;2 361 522;0,019;
январь 2022;2 545 782;0,021;
февраль 2022;2 293 079;0,019;
март 2022;2 377 811;0,018;
апрель 2022;2 133 361;0,017;
май 2022;2 034 304;0,017;
июнь 2022;1 775 252;0,016;
июль 2022;1 930 653;0,018;
август 2022;2 166 439;0,020;
сентябрь 2022;2 161 193;0,018;
октябрь 2022;2 191 350;0,017;
ноябрь 2022;2 178 807;0,017;
декабрь 2022;1 988 925;0,015;
январь 2023;2 021 803;0,016;
февраль 2023;1 934 784;0,016;
март 2023;2 025 287;0,016;
апрель 2023;1 635 865;0,014;
май 2023;1 478 885;0,013;
июнь 2023;1 440 354;0,014;
июль 2023;1 571 103;0,015;
август 2023;1 691 524;0,016;
сентябрь 2023;1 789 553;0,016;
октябрь 2023;1 999 432;0,016;
ноябрь 2023;1 917 824;0,016;
декабрь 2023;1 827 110;0,015;
январь 2024;1 959 746;0,016;
февраль 2024;1 773 701;0,015;
март 2024;1 709 584;0,014;
апрель 2024;1 430 223;0,013;
май 2024;1 424 633;0,013;
июнь 2024;1 267 831;0,013;
июль 2024;1 390 433;0,014;
август 2024;1 537 102;0,016;
сентябрь 2024;1 627 676;0,016;
октябрь 2024;1 761 354;0,015;
ноябрь 2024;1 843 506;0,015;
декабрь 2024;1 800 765;0,015;
январь 2025;1 924 378;0,016;
февраль 2025;1 758 451;0,015;
март 2025;1 745 063;0,014;
апрель 2025;1 455 805;0,012;
май 2025;1 364 189;0,012;
июнь 2025;1 452 688;0,013;
