Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Дорожки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;823 837;0,010;
февраль 2018;807 952;0,010;
март 2018;926 264;0,011;
апрель 2018;917 578;0,012;
май 2018;941 769;0,012;
июнь 2018;815 107;0,011;
июль 2018;736 342;0,010;
август 2018;749 170;0,010;
сентябрь 2018;907 431;0,011;
октябрь 2018;1 092 473;0,011;
ноябрь 2018;962 390;0,011;
декабрь 2018;901 877;0,010;
январь 2019;1 003 803;0,011;
февраль 2019;1 116 546;0,013;
март 2019;1 184 492;0,013;
апрель 2019;1 209 288;0,014;
май 2019;1 148 811;0,014;
июнь 2019;1 070 556;0,014;
июль 2019;1 223 398;0,016;
август 2019;1 057 809;0,014;
сентябрь 2019;1 142 353;0,014;
октябрь 2019;1 356 261;0,015;
ноябрь 2019;1 326 250;0,014;
декабрь 2019;1 495 569;0,016;
январь 2020;1 698 627;0,017;
февраль 2020;1 713 143;0,018;
март 2020;2 807 471;0,028;
апрель 2020;3 754 796;0,031;
май 2020;3 305 083;0,030;
июнь 2020;2 438 257;0,027;
июль 2020;2 199 338;0,026;
август 2020;2 447 086;0,029;
сентябрь 2020;4 398 591;0,046;
октябрь 2020;3 366 077;0,031;
ноябрь 2020;4 315 684;0,037;
декабрь 2020;3 948 432;0,035;
январь 2021;4 000 381;0,038;
февраль 2021;3 888 532;0,038;
март 2021;3 113 110;0,028;
апрель 2021;1 615 987;0,014;
май 2021;1 504 122;0,014;
июнь 2021;1 355 470;0,013;
июль 2021;1 082 414;0,011;
август 2021;1 116 483;0,011;
сентябрь 2021;1 289 856;0,012;
октябрь 2021;1 392 151;0,012;
ноябрь 2021;1 482 603;0,012;
декабрь 2021;1 625 734;0,013;
январь 2022;1 480 997;0,012;
февраль 2022;1 350 461;0,011;
март 2022;1 341 813;0,010;
апрель 2022;1 491 396;0,012;
май 2022;1 598 932;0,013;
июнь 2022;1 203 515;0,011;
июль 2022;1 083 125;0,010;
август 2022;1 096 257;0,010;
сентябрь 2022;1 190 134;0,010;
октябрь 2022;1 317 702;0,010;
ноябрь 2022;1 383 617;0,010;
декабрь 2022;1 278 499;0,010;
январь 2023;1 323 942;0,010;
февраль 2023;1 294 478;0,011;
март 2023;1 527 762;0,012;
апрель 2023;1 558 346;0,013;
май 2023;1 491 528;0,013;
июнь 2023;1 155 516;0,011;
июль 2023;1 053 194;0,010;
август 2023;1 012 628;0,010;
сентябрь 2023;1 243 229;0,011;
октябрь 2023;1 470 693;0,012;
ноябрь 2023;1 390 504;0,011;
декабрь 2023;1 321 486;0,011;
январь 2024;1 392 634;0,011;
февраль 2024;1 398 908;0,012;
март 2024;1 403 843;0,012;
апрель 2024;1 625 552;0,014;
май 2024;1 507 929;0,014;
июнь 2024;1 156 010;0,012;
июль 2024;1 009 440;0,010;
август 2024;968 592;0,010;
сентябрь 2024;1 167 066;0,011;
октябрь 2024;1 393 859;0,012;
ноябрь 2024;1 410 310;0,012;
декабрь 2024;1 406 272;0,011;
январь 2025;1 538 871;0,012;
февраль 2025;1 633 844;0,014;
март 2025;1 631 479;0,013;
апрель 2025;1 713 383;0,015;
май 2025;1 553 514;0,014;
июнь 2025;1 339 678;0,012;
