Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Затирка цементная», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 628;0,000020;
февраль 2018;1 897;0,000024;
март 2018;2 232;0,000026;
апрель 2018;1 992;0,000026;
май 2018;2 373;0,000031;
июнь 2018;2 208;0,000031;
июль 2018;2 598;0,000037;
август 2018;2 784;0,000039;
сентябрь 2018;2 861;0,000036;
октябрь 2018;3 024;0,000032;
ноябрь 2018;2 352;0,000027;
декабрь 2018;2 199;0,000025;
январь 2019;2 201;0,000024;
февраль 2019;2 387;0,000028;
март 2019;3 134;0,000035;
апрель 2019;2 697;0,000032;
май 2019;2 957;0,000037;
июнь 2019;2 765;0,000038;
июль 2019;3 252;0,000044;
август 2019;3 724;0,000051;
сентябрь 2019;2 880;0,000036;
октябрь 2019;2 969;0,000033;
ноябрь 2019;2 754;0,000031;
декабрь 2019;3 108;0,000033;
январь 2020;2 749;0,000028;
февраль 2020;2 983;0,000032;
март 2020;3 017;0,000030;
апрель 2020;4 308;0,000036;
май 2020;4 199;0,000039;
июнь 2020;3 851;0,000043;
июль 2020;3 878;0,000046;
август 2020;4 075;0,000048;
сентябрь 2020;4 073;0,000042;
октябрь 2020;4 314;0,000040;
ноябрь 2020;4 240;0,000036;
декабрь 2020;3 584;0,000032;
январь 2021;3 376;0,000032;
февраль 2021;3 677;0,000036;
март 2021;4 107;0,000037;
апрель 2021;4 273;0,000039;
май 2021;4 294;0,000041;
июнь 2021;4 425;0,000044;
июль 2021;4 860;0,000050;
август 2021;5 327;0,000053;
сентябрь 2021;5 623;0,000052;
октябрь 2021;5 203;0,000045;
ноябрь 2021;5 195;0,000044;
декабрь 2021;4 666;0,000039;
январь 2022;4 341;0,000036;
февраль 2022;4 735;0,000040;
март 2022;5 531;0,000043;
апрель 2022;5 836;0,000048;
май 2022;6 622;0,000055;
июнь 2022;7 034;0,000065;
июль 2022;7 476;0,000071;
август 2022;7 881;0,000073;
сентябрь 2022;6 665;0,000057;
октябрь 2022;6 763;0,000054;
ноябрь 2022;7 162;0,000056;
декабрь 2022;6 014;0,000047;
январь 2023;5 534;0,000044;
февраль 2023;6 216;0,000054;
март 2023;7 582;0,000060;
апрель 2023;6 883;0,000059;
май 2023;8 078;0,000071;
июнь 2023;8 134;0,000079;
июль 2023;8 819;0,000087;
август 2023;9 218;0,000091;
сентябрь 2023;8 726;0,000081;
октябрь 2023;9 167;0,000076;
ноябрь 2023;8 415;0,000071;
декабрь 2023;7 573;0,000063;
январь 2024;7 351;0,000060;
февраль 2024;8 576;0,000076;
март 2024;9 358;0,000081;
апрель 2024;9 537;0,000087;
май 2024;9 521;0,000089;
июнь 2024;9 253;0,000099;
июль 2024;10 896;0,000117;
август 2024;10 716;0,000114;
сентябрь 2024;10 603;0,000106;
октябрь 2024;10 835;0,000096;
ноябрь 2024;11 133;0,000095;
декабрь 2024;10 671;0,000088;
январь 2025;10 196;0,000085;
февраль 2025;11 542;0,000101;
март 2025;12 754;0,000106;
апрель 2025;12 357;0,000108;
май 2025;11 803;0,000110;
июнь 2025;14 592;0,000138;
