Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запорно», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;98 363;0,0012;
февраль 2018;111 483;0,0014;
март 2018;129 327;0,0015;
апрель 2018;121 557;0,0016;
май 2018;117 929;0,0015;
июнь 2018;117 100;0,0016;
июль 2018;114 816;0,0016;
август 2018;127 552;0,0018;
сентябрь 2018;127 562;0,0016;
октябрь 2018;166 229;0,0018;
ноябрь 2018;129 290;0,0015;
декабрь 2018;114 749;0,0013;
январь 2019;109 624;0,0012;
февраль 2019;122 512;0,0014;
март 2019;130 646;0,0014;
апрель 2019;129 754;0,0015;
май 2019;113 803;0,0014;
июнь 2019;114 607;0,0015;
июль 2019;118 022;0,0016;
август 2019;111 849;0,0015;
сентябрь 2019;118 930;0,0015;
октябрь 2019;133 876;0,0015;
ноябрь 2019;128 703;0,0014;
декабрь 2019;130 741;0,0014;
январь 2020;121 975;0,0012;
февраль 2020;130 864;0,0014;
март 2020;130 693;0,0013;
апрель 2020;132 235;0,0011;
май 2020;138 903;0,0012;
июнь 2020;140 928;0,0015;
июль 2020;133 068;0,0015;
август 2020;122 718;0,0014;
сентябрь 2020;136 409;0,0014;
октябрь 2020;146 572;0,0013;
ноябрь 2020;153 275;0,0013;
декабрь 2020;147 858;0,0013;
январь 2021;121 219;0,0011;
февраль 2021;139 764;0,0013;
март 2021;162 186;0,0014;
апрель 2021;161 759;0,0015;
май 2021;143 017;0,0013;
июнь 2021;154 608;0,0015;
июль 2021;143 882;0,0014;
август 2021;149 587;0,0014;
сентябрь 2021;163 456;0,0015;
октябрь 2021;156 726;0,0013;
ноябрь 2021;162 233;0,0013;
декабрь 2021;164 680;0,0013;
январь 2022;139 849;0,0011;
февраль 2022;148 967;0,0012;
март 2022;178 886;0,0014;
апрель 2022;178 124;0,0014;
май 2022;164 445;0,0013;
июнь 2022;168 815;0,0015;
июль 2022;151 167;0,0014;
август 2022;160 437;0,0014;
сентябрь 2022;155 968;0,0013;
октябрь 2022;159 805;0,0012;
ноябрь 2022;175 264;0,0013;
декабрь 2022;159 577;0,0012;
январь 2023;144 192;0,0011;
февраль 2023;155 295;0,0013;
март 2023;178 711;0,0014;
апрель 2023;165 751;0,0014;
май 2023;166 141;0,0014;
июнь 2023;160 433;0,0015;
июль 2023;148 769;0,0014;
август 2023;152 719;0,0015;
сентябрь 2023;154 142;0,0014;
октябрь 2023;184 695;0,0015;
ноябрь 2023;172 418;0,0014;
декабрь 2023;155 743;0,0013;
январь 2024;149 214;0,0012;
февраль 2024;164 783;0,0014;
март 2024;165 348;0,0014;
апрель 2024;172 528;0,0015;
май 2024;165 913;0,0015;
июнь 2024;153 333;0,0016;
июль 2024;158 608;0,0017;
август 2024;149 807;0,0016;
сентябрь 2024;157 236;0,0015;
октябрь 2024;190 528;0,0016;
ноябрь 2024;190 257;0,0016;
декабрь 2024;184 286;0,0015;
январь 2025;162 649;0,0013;
февраль 2025;194 799;0,0017;
март 2025;193 317;0,0016;
апрель 2025;192 831;0,0016;
май 2025;173 729;0,0016;
июнь 2025;184 618;0,0017;
