Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Краски для дерева», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;26 469;0,00034;
февраль 2018;28 094;0,00036;
март 2018;41 117;0,00048;
апрель 2018;61 768;0,00081;
май 2018;72 116;0,00095;
июнь 2018;73 789;0,00106;
июль 2018;76 431;0,00109;
август 2018;72 991;0,00103;
сентябрь 2018;55 642;0,00070;
октябрь 2018;49 693;0,00053;
ноябрь 2018;35 418;0,00041;
декабрь 2018;26 710;0,00031;
январь 2019;28 151;0,00031;
февраль 2019;33 722;0,00040;
март 2019;49 073;0,00055;
апрель 2019;75 789;0,00091;
май 2019;74 412;0,00094;
июнь 2019;71 733;0,00098;
июль 2019;74 774;0,00101;
август 2019;67 497;0,00092;
сентябрь 2019;60 682;0,00077;
октябрь 2019;52 351;0,00059;
ноябрь 2019;44 546;0,00050;
декабрь 2019;37 902;0,00040;
январь 2020;45 780;0,00047;
февраль 2020;45 209;0,00049;
март 2020;66 165;0,00067;
апрель 2020;104 396;0,00087;
май 2020;140 547;0,00131;
июнь 2020;125 242;0,00140;
июль 2020;118 770;0,00141;
август 2020;104 908;0,00125;
сентябрь 2020;81 181;0,00085;
октябрь 2020;78 707;0,00073;
ноябрь 2020;64 759;0,00056;
декабрь 2020;49 870;0,00045;
январь 2021;49 830;0,00047;
февраль 2021;50 304;0,00050;
март 2021;74 517;0,00068;
апрель 2021;121 614;0,00112;
май 2021;127 543;0,00123;
июнь 2021;133 798;0,00134;
июль 2021;137 556;0,00141;
август 2021;137 820;0,00137;
сентябрь 2021;94 386;0,00088;
октябрь 2021;84 225;0,00074;
ноябрь 2021;72 938;0,00062;
декабрь 2021;54 801;0,00046;
январь 2022;57 962;0,00048;
февраль 2022;66 763;0,00056;
март 2022;111 561;0,00087;
апрель 2022;145 678;0,00121;
май 2022;172 256;0,00144;
июнь 2022;172 398;0,00160;
июль 2022;178 759;0,00171;
август 2022;165 562;0,00153;
сентябрь 2022;98 724;0,00084;
октябрь 2022;86 805;0,00070;
ноябрь 2022;69 606;0,00055;
декабрь 2022;51 085;0,00040;
январь 2023;56 652;0,00045;
февраль 2023;62 422;0,00054;
март 2023;98 667;0,00079;
апрель 2023;153 481;0,00132;
май 2023;156 728;0,00138;
июнь 2023;156 747;0,00152;
июль 2023;153 470;0,00152;
август 2023;136 759;0,00136;
сентябрь 2023;114 241;0,00106;
октябрь 2023;93 574;0,00078;
ноябрь 2023;71 341;0,00060;
декабрь 2023;47 616;0,00039;
январь 2024;51 207;0,00042;
февраль 2024;61 413;0,00054;
март 2024;90 378;0,00078;
апрель 2024;144 870;0,00133;
май 2024;137 542;0,00129;
июнь 2024;134 284;0,00143;
июль 2024;143 368;0,00154;
август 2024;126 139;0,00134;
сентябрь 2024;104 047;0,00104;
октябрь 2024;79 895;0,00071;
ноябрь 2024;58 447;0,00050;
декабрь 2024;46 366;0,00038;
январь 2025;55 340;0,00046;
февраль 2025;59 098;0,00051;
март 2025;97 869;0,00081;
апрель 2025;120 108;0,00105;
май 2025;122 617;0,00114;
июнь 2025;131 508;0,00124;
