Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аксессуары для котлов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;252;0,00000324;
февраль 2018;220;0,00000283;
март 2018;179;0,00000212;
апрель 2018;150;0,00000197;
май 2018;139;0,00000184;
июнь 2018;134;0,00000193;
июль 2018;151;0,00000216;
август 2018;166;0,00000235;
сентябрь 2018;210;0,00000265;
октябрь 2018;307;0,00000333;
ноябрь 2018;279;0,00000328;
декабрь 2018;378;0,00000442;
январь 2019;373;0,00000423;
февраль 2019;231;0,00000275;
март 2019;394;0,00000448;
апрель 2019;275;0,00000332;
май 2019;178;0,00000225;
июнь 2019;137;0,00000189;
июль 2019;141;0,00000191;
август 2019;145;0,00000199;
сентябрь 2019;187;0,00000237;
октябрь 2019;202;0,00000228;
ноябрь 2019;214;0,00000241;
декабрь 2019;191;0,00000205;
январь 2020;195;0,00000200;
февраль 2020;178;0,00000193;
март 2020;152;0,00000154;
апрель 2020;166;0,00000138;
май 2020;321;0,00000299;
июнь 2020;128;0,00000143;
июль 2020;98;0,00000116;
август 2020;143;0,00000170;
сентябрь 2020;196;0,00000206;
октябрь 2020;249;0,00000231;
ноябрь 2020;246;0,00000214;
декабрь 2020;241;0,00000218;
январь 2021;183;0,00000175;
февраль 2021;161;0,00000161;
март 2021;117;0,00000107;
апрель 2021;129;0,00000119;
май 2021;72;0,00000069;
июнь 2021;102;0,00000102;
июль 2021;100;0,00000103;
август 2021;152;0,00000151;
сентябрь 2021;288;0,00000268;
октябрь 2021;213;0,00000187;
ноябрь 2021;230;0,00000198;
декабрь 2021;271;0,00000228;
январь 2022;229;0,00000192;
февраль 2022;223;0,00000188;
март 2022;215;0,00000168;
апрель 2022;177;0,00000148;
май 2022;185;0,00000155;
июнь 2022;136;0,00000126;
июль 2022;123;0,00000117;
август 2022;121;0,00000112;
сентябрь 2022;220;0,00000188;
октябрь 2022;255;0,00000206;
ноябрь 2022;292;0,00000231;
декабрь 2022;252;0,00000200;
январь 2023;237;0,00000192;
февраль 2023;125;0,00000109;
март 2023;123;0,00000098;
апрель 2023;93;0,00000080;
май 2023;76;0,00000067;
июнь 2023;80;0,00000078;
июль 2023;148;0,00000146;
август 2023;173;0,00000172;
сентябрь 2023;172;0,00000159;
октябрь 2023;270;0,00000226;
ноябрь 2023;246;0,00000209;
декабрь 2023;277;0,00000232;
январь 2024;234;0,00000194;
февраль 2024;146;0,00000130;
март 2024;131;0,00000113;
апрель 2024;93;0,00000085;
май 2024;97;0,00000091;
июнь 2024;69;0,00000073;
июль 2024;114;0,00000122;
август 2024;130;0,00000139;
сентябрь 2024;151;0,00000152;
октябрь 2024;192;0,00000171;
ноябрь 2024;190;0,00000163;
декабрь 2024;194;0,00000161;
январь 2025;189;0,00000159;
февраль 2025;140;0,00000122;
март 2025;110;0,00000091;
апрель 2025;89;0,00000078;
май 2025;85;0,00000079;
июнь 2025;64;0,00000060;
