Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Глазки дверные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;17 248;0,000222;
февраль 2018;11 272;0,000145;
март 2018;10 077;0,000119;
апрель 2018;9 035;0,000119;
май 2018;7 065;0,000094;
июнь 2018;6 075;0,000087;
июль 2018;7 399;0,000105;
август 2018;7 664;0,000108;
сентябрь 2018;7 998;0,000100;
октябрь 2018;9 768;0,000106;
ноябрь 2018;10 442;0,000122;
декабрь 2018;9 944;0,000116;
январь 2019;10 305;0,000117;
февраль 2019;9 755;0,000116;
март 2019;9 969;0,000113;
апрель 2019;8 489;0,000102;
май 2019;6 941;0,000087;
июнь 2019;6 486;0,000089;
июль 2019;7 336;0,000099;
август 2019;7 890;0,000108;
сентябрь 2019;7 951;0,000101;
октябрь 2019;11 206;0,000126;
ноябрь 2019;10 013;0,000112;
декабрь 2019;11 719;0,000126;
январь 2020;12 005;0,000123;
февраль 2020;11 529;0,000125;
март 2020;9 628;0,000097;
апрель 2020;8 372;0,000070;
май 2020;9 766;0,000091;
июнь 2020;9 362;0,000104;
июль 2020;8 655;0,000102;
август 2020;9 864;0,000117;
сентябрь 2020;10 073;0,000106;
октябрь 2020;11 302;0,000105;
ноябрь 2020;12 610;0,000110;
декабрь 2020;13 347;0,000120;
январь 2021;13 668;0,000130;
февраль 2021;13 207;0,000132;
март 2021;14 313;0,000131;
апрель 2021;12 495;0,000115;
май 2021;11 027;0,000106;
июнь 2021;10 518;0,000106;
июль 2021;9 871;0,000101;
август 2021;11 802;0,000117;
сентябрь 2021;11 858;0,000110;
октябрь 2021;13 302;0,000116;
ноябрь 2021;14 676;0,000126;
декабрь 2021;14 729;0,000124;
январь 2022;15 545;0,000130;
февраль 2022;13 819;0,000117;
март 2022;13 352;0,000104;
апрель 2022;17 439;0,000145;
май 2022;15 998;0,000134;
июнь 2022;13 466;0,000125;
июль 2022;14 020;0,000134;
август 2022;12 331;0,000114;
сентябрь 2022;15 573;0,000133;
октябрь 2022;18 136;0,000146;
ноябрь 2022;16 175;0,000128;
декабрь 2022;14 833;0,000117;
январь 2023;16 242;0,000131;
февраль 2023;14 690;0,000128;
март 2023;16 275;0,000130;
апрель 2023;12 624;0,000109;
май 2023;11 706;0,000103;
июнь 2023;10 643;0,000103;
июль 2023;11 737;0,000116;
август 2023;11 717;0,000116;
сентябрь 2023;11 758;0,000109;
октябрь 2023;14 522;0,000121;
ноябрь 2023;14 765;0,000125;
декабрь 2023;14 953;0,000125;
январь 2024;15 285;0,000126;
февраль 2024;16 130;0,000143;
март 2024;15 384;0,000133;
апрель 2024;14 239;0,000131;
май 2024;12 513;0,000117;
июнь 2024;10 653;0,000114;
июль 2024;11 502;0,000123;
август 2024;12 455;0,000133;
сентябрь 2024;12 895;0,000129;
октябрь 2024;14 953;0,000133;
ноябрь 2024;15 583;0,000134;
декабрь 2024;16 853;0,000140;
январь 2025;16 985;0,000143;
февраль 2025;16 685;0,000146;
март 2025;15 931;0,000132;
апрель 2025;13 264;0,000116;
май 2025;11 786;0,000110;
июнь 2025;11 385;0,000107;
