Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Хлебницы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;60 019;0,00077;
февраль 2018;62 247;0,00080;
март 2018;66 822;0,00079;
апрель 2018;61 114;0,00080;
май 2018;54 690;0,00072;
июнь 2018;46 461;0,00066;
июль 2018;47 032;0,00067;
август 2018;52 467;0,00074;
сентябрь 2018;54 877;0,00069;
октябрь 2018;69 383;0,00075;
ноябрь 2018;59 937;0,00070;
декабрь 2018;59 397;0,00069;
январь 2019;67 356;0,00076;
февраль 2019;70 323;0,00083;
март 2019;73 246;0,00083;
апрель 2019;72 298;0,00087;
май 2019;61 543;0,00077;
июнь 2019;49 102;0,00067;
июль 2019;56 816;0,00077;
август 2019;58 896;0,00081;
сентябрь 2019;63 679;0,00080;
октябрь 2019;75 034;0,00084;
ноябрь 2019;70 913;0,00079;
декабрь 2019;74 580;0,00080;
январь 2020;83 505;0,00085;
февраль 2020;84 258;0,00091;
март 2020;85 547;0,00087;
апрель 2020;90 798;0,00076;
май 2020;92 783;0,00086;
июнь 2020;68 262;0,00076;
июль 2020;65 131;0,00077;
август 2020;68 365;0,00081;
сентябрь 2020;74 600;0,00078;
октябрь 2020;85 318;0,00079;
ноябрь 2020;85 308;0,00074;
декабрь 2020;85 357;0,00077;
январь 2021;86 427;0,00082;
февраль 2021;88 204;0,00088;
март 2021;100 466;0,00092;
апрель 2021;111 197;0,00103;
май 2021;94 843;0,00091;
июнь 2021;66 568;0,00067;
июль 2021;66 117;0,00068;
август 2021;75 282;0,00075;
сентябрь 2021;80 180;0,00074;
октябрь 2021;84 169;0,00074;
ноябрь 2021;81 807;0,00070;
декабрь 2021;81 477;0,00068;
январь 2022;91 796;0,00076;
февраль 2022;93 929;0,00079;
март 2022;106 745;0,00083;
апрель 2022;124 523;0,00104;
май 2022;112 621;0,00094;
июнь 2022;73 321;0,00068;
июль 2022;71 050;0,00068;
август 2022;73 434;0,00068;
сентябрь 2022;72 402;0,00061;
октябрь 2022;81 196;0,00065;
ноябрь 2022;78 456;0,00062;
декабрь 2022;73 033;0,00058;
январь 2023;86 225;0,00069;
февраль 2023;85 391;0,00074;
март 2023;107 576;0,00086;
апрель 2023;111 099;0,00096;
май 2023;94 984;0,00083;
июнь 2023;66 618;0,00064;
июль 2023;63 609;0,00063;
август 2023;62 637;0,00062;
сентябрь 2023;68 861;0,00064;
октябрь 2023;83 525;0,00070;
ноябрь 2023;78 898;0,00067;
декабрь 2023;69 483;0,00058;
январь 2024;80 747;0,00066;
февраль 2024;80 735;0,00071;
март 2024;90 859;0,00078;
апрель 2024;110 911;0,00102;
май 2024;105 333;0,00098;
июнь 2024;59 268;0,00063;
июль 2024;55 920;0,00060;
август 2024;56 189;0,00060;
сентябрь 2024;57 971;0,00058;
октябрь 2024;71 218;0,00063;
ноябрь 2024;94 359;0,00081;
декабрь 2024;74 619;0,00062;
январь 2025;93 488;0,00078;
февраль 2025;81 552;0,00071;
март 2025;88 909;0,00074;
апрель 2025;94 204;0,00082;
май 2025;91 445;0,00085;
июнь 2025;62 439;0,00059;
