Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Водосток металлический», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 333;0,000017;
февраль 2018;1 571;0,000020;
март 2018;2 544;0,000030;
апрель 2018;4 023;0,000053;
май 2018;5 780;0,000076;
июнь 2018;6 159;0,000088;
июль 2018;7 059;0,000100;
август 2018;6 892;0,000097;
сентябрь 2018;6 673;0,000084;
октябрь 2018;5 573;0,000060;
ноябрь 2018;2 406;0,000028;
декабрь 2018;1 288;0,000015;
январь 2019;1 318;0,000014;
февраль 2019;1 865;0,000022;
март 2019;2 929;0,000033;
апрель 2019;3 378;0,000040;
май 2019;4 234;0,000053;
июнь 2019;4 131;0,000056;
июль 2019;5 344;0,000072;
август 2019;4 680;0,000064;
сентябрь 2019;5 118;0,000065;
октябрь 2019;7 094;0,000080;
ноябрь 2019;4 706;0,000053;
декабрь 2019;5 157;0,000055;
январь 2020;6 139;0,000063;
февраль 2020;1 730;0,000018;
март 2020;2 519;0,000025;
апрель 2020;3 537;0,000029;
май 2020;6 569;0,000061;
июнь 2020;6 757;0,000075;
июль 2020;6 847;0,000081;
август 2020;8 346;0,000099;
сентябрь 2020;6 165;0,000064;
октябрь 2020;4 688;0,000043;
ноябрь 2020;2 952;0,000025;
декабрь 2020;1 767;0,000015;
январь 2021;1 667;0,000015;
февраль 2021;1 711;0,000017;
март 2021;3 607;0,000033;
апрель 2021;5 489;0,000050;
май 2021;6 448;0,000062;
июнь 2021;6 492;0,000065;
июль 2021;6 978;0,000071;
август 2021;8 486;0,000084;
сентябрь 2021;7 365;0,000068;
октябрь 2021;5 582;0,000049;
ноябрь 2021;3 861;0,000033;
декабрь 2021;2 240;0,000018;
январь 2022;1 854;0,000015;
февраль 2022;3 193;0,000027;
март 2022;4 401;0,000034;
апрель 2022;6 047;0,000050;
май 2022;7 993;0,000066;
июнь 2022;8 062;0,000075;
июль 2022;8 179;0,000078;
август 2022;8 921;0,000082;
сентябрь 2022;7 371;0,000063;
октябрь 2022;5 169;0,000041;
ноябрь 2022;2 973;0,000023;
декабрь 2022;1 616;0,000012;
январь 2023;1 379;0,000011;
февраль 2023;1 633;0,000014;
март 2023;4 038;0,000032;
апрель 2023;5 359;0,000046;
май 2023;6 548;0,000057;
июнь 2023;7 223;0,000070;
июль 2023;9 104;0,000090;
август 2023;9 617;0,000095;
сентябрь 2023;9 632;0,000089;
октябрь 2023;8 323;0,000069;
ноябрь 2023;4 306;0,000036;
декабрь 2023;2 114;0,000017;
январь 2024;2 065;0,000017;
февраль 2024;2 539;0,000022;
март 2024;4 049;0,000035;
апрель 2024;5 946;0,000054;
май 2024;6 965;0,000065;
июнь 2024;7 542;0,000080;
июль 2024;8 196;0,000088;
август 2024;8 861;0,000094;
сентябрь 2024;7 890;0,000079;
октябрь 2024;6 316;0,000056;
ноябрь 2024;3 886;0,000033;
декабрь 2024;2 207;0,000018;
январь 2025;2 336;0,000019;
февраль 2025;2 207;0,000019;
март 2025;4 279;0,000035;
апрель 2025;5 107;0,000044;
май 2025;6 434;0,000060;
июнь 2025;7 968;0,000075;
