Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Духовые шкафы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;506 007;0,0065;
февраль 2018;437 664;0,0056;
март 2018;494 739;0,0058;
апрель 2018;434 839;0,0057;
май 2018;374 709;0,0049;
июнь 2018;373 188;0,0053;
июль 2018;421 183;0,0060;
август 2018;514 505;0,0072;
сентябрь 2018;501 361;0,0063;
октябрь 2018;614 463;0,0066;
ноябрь 2018;645 748;0,0075;
декабрь 2018;686 276;0,0080;
январь 2019;617 497;0,0070;
февраль 2019;550 721;0,0065;
март 2019;608 831;0,0069;
апрель 2019;514 093;0,0062;
май 2019;435 721;0,0055;
июнь 2019;432 508;0,0059;
июль 2019;507 628;0,0069;
август 2019;533 428;0,0073;
сентябрь 2019;535 068;0,0068;
октябрь 2019;613 405;0,0069;
ноябрь 2019;690 873;0,0077;
декабрь 2019;724 556;0,0078;
январь 2020;708 290;0,0072;
февраль 2020;635 877;0,0069;
март 2020;746 710;0,0075;
апрель 2020;619 068;0,0051;
май 2020;637 691;0,0059;
июнь 2020;612 938;0,0068;
июль 2020;658 395;0,0078;
август 2020;711 886;0,0084;
сентябрь 2020;710 179;0,0074;
октябрь 2020;818 846;0,0076;
ноябрь 2020;1 024 930;0,0089;
декабрь 2020;960 186;0,0086;
январь 2021;898 386;0,0086;
февраль 2021;786 365;0,0078;
март 2021;801 682;0,0073;
апрель 2021;744 586;0,0069;
май 2021;708 816;0,0068;
июнь 2021;658 749;0,0066;
июль 2021;722 828;0,0074;
август 2021;866 182;0,0086;
сентябрь 2021;883 243;0,0082;
октябрь 2021;902 582;0,0079;
ноябрь 2021;1 063 487;0,0091;
декабрь 2021;1 070 608;0,0090;
январь 2022;1 001 435;0,0083;
февраль 2022;1 010 914;0,0085;
март 2022;1 589 972;0,0124;
апрель 2022;879 921;0,0073;
май 2022;744 455;0,0062;
июнь 2022;655 371;0,0061;
июль 2022;697 643;0,0066;
август 2022;736 882;0,0068;
сентябрь 2022;724 683;0,0061;
октябрь 2022;777 212;0,0062;
ноябрь 2022;909 668;0,0072;
декабрь 2022;878 922;0,0069;
январь 2023;819 263;0,0066;
февраль 2023;732 395;0,0064;
март 2023;790 672;0,0063;
апрель 2023;663 423;0,0057;
май 2023;615 428;0,0054;
июнь 2023;623 570;0,0060;
июль 2023;660 603;0,0065;
август 2023;729 369;0,0072;
сентябрь 2023;753 510;0,0070;
октябрь 2023;918 393;0,0076;
ноябрь 2023;913 398;0,0077;
декабрь 2023;860 707;0,0072;
январь 2024;854 842;0,0070;
февраль 2024;760 732;0,0067;
март 2024;717 126;0,0062;
апрель 2024;616 513;0,0056;
май 2024;637 638;0,0059;
июнь 2024;548 887;0,0058;
июль 2024;588 527;0,0063;
август 2024;606 985;0,0064;
сентябрь 2024;599 178;0,0060;
октябрь 2024;702 154;0,0062;
ноябрь 2024;832 108;0,0071;
декабрь 2024;874 655;0,0072;
январь 2025;798 503;0,0067;
февраль 2025;692 293;0,0060;
март 2025;681 430;0,0056;
апрель 2025;618 927;0,0054;
май 2025;552 885;0,0051;
июнь 2025;579 581;0,0054;
