Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Веревки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;257 073;0,0033;
февраль 2018;266 307;0,0034;
март 2018;285 793;0,0033;
апрель 2018;290 495;0,0038;
май 2018;285 331;0,0037;
июнь 2018;248 729;0,0035;
июль 2018;247 675;0,0035;
август 2018;251 937;0,0035;
сентябрь 2018;271 753;0,0034;
октябрь 2018;341 264;0,0037;
ноябрь 2018;321 741;0,0037;
декабрь 2018;321 284;0,0037;
январь 2019;318 740;0,0036;
февраль 2019;319 519;0,0038;
март 2019;323 632;0,0036;
апрель 2019;318 219;0,0038;
май 2019;336 055;0,0042;
июнь 2019;307 212;0,0042;
июль 2019;300 517;0,0040;
август 2019;291 242;0,0040;
сентябрь 2019;307 431;0,0039;
октябрь 2019;364 349;0,0041;
ноябрь 2019;377 663;0,0042;
декабрь 2019;383 319;0,0041;
январь 2020;410 475;0,0042;
февраль 2020;391 535;0,0042;
март 2020;375 624;0,0038;
апрель 2020;609 142;0,0050;
май 2020;652 971;0,0060;
июнь 2020;439 031;0,0049;
июль 2020;389 097;0,0046;
август 2020;364 022;0,0043;
сентябрь 2020;390 513;0,0041;
октябрь 2020;457 638;0,0042;
ноябрь 2020;543 764;0,0047;
декабрь 2020;519 697;0,0047;
январь 2021;448 954;0,0043;
февраль 2021;476 026;0,0047;
март 2021;469 699;0,0043;
апрель 2021;478 367;0,0044;
май 2021;502 335;0,0048;
июнь 2021;450 076;0,0045;
июль 2021;431 804;0,0044;
август 2021;415 010;0,0041;
сентябрь 2021;459 840;0,0042;
октябрь 2021;496 853;0,0043;
ноябрь 2021;534 837;0,0046;
декабрь 2021;516 088;0,0043;
январь 2022;501 002;0,0042;
февраль 2022;496 043;0,0042;
март 2022;477 888;0,0037;
апрель 2022;539 109;0,0045;
май 2022;619 617;0,0051;
июнь 2022;531 139;0,0049;
июль 2022;494 308;0,0047;
август 2022;488 388;0,0045;
сентябрь 2022;475 187;0,0040;
октябрь 2022;539 717;0,0043;
ноябрь 2022;584 897;0,0046;
декабрь 2022;550 938;0,0043;
январь 2023;505 059;0,0040;
февраль 2023;491 213;0,0043;
март 2023;541 061;0,0043;
апрель 2023;531 021;0,0046;
май 2023;604 431;0,0053;
июнь 2023;498 900;0,0048;
июль 2023;488 110;0,0048;
август 2023;460 013;0,0045;
сентябрь 2023;489 969;0,0045;
октябрь 2023;577 516;0,0048;
ноябрь 2023;564 553;0,0048;
декабрь 2023;537 238;0,0045;
январь 2024;484 581;0,0040;
февраль 2024;472 567;0,0042;
март 2024;480 081;0,0041;
апрель 2024;517 312;0,0047;
май 2024;564 708;0,0053;
июнь 2024;481 705;0,0051;
июль 2024;457 963;0,0049;
август 2024;430 064;0,0045;
сентябрь 2024;458 464;0,0046;
октябрь 2024;537 386;0,0047;
ноябрь 2024;594 394;0,0051;
декабрь 2024;580 020;0,0048;
январь 2025;535 741;0,0045;
февраль 2025;511 366;0,0044;
март 2025;541 734;0,0045;
апрель 2025;559 601;0,0049;
май 2025;601 284;0,0056;
июнь 2025;554 769;0,0052;
